symbol,timestamp,tradingDay,open,high,low,close,volume
"ZCn10","2010-06-30T07:00:00-05:00","2010-06-30","330","331.75","330","331","81"
"ZCn10","2010-06-30T09:30:00-05:00","2010-06-30","346","358","346","355.5","3926"
"ZCn10","2010-06-30T09:45:00-05:00","2010-06-30","355.5","355.5","346.5","347.25","2969"
"ZCn10","2010-06-30T10:00:00-05:00","2010-06-30","347.5","354.5","347.5","351.5","1071"
"ZCn10","2010-06-30T10:15:00-05:00","2010-06-30","351.75","353.5","350.5","352.25","395"
"ZCn10","2010-06-30T10:30:00-05:00","2010-06-30","352.75","353","350.75","351","261"
"ZCn10","2010-06-30T10:45:00-05:00","2010-06-30","351.25","351.25","350.25","350.75","279"
"ZCn10","2010-06-30T11:00:00-05:00","2010-06-30","350.25","350.5","349","349","944"
"ZCn10","2010-06-30T11:15:00-05:00","2010-06-30","349.25","351.5","348.5","351.5","241"
"ZCn10","2010-06-30T11:30:00-05:00","2010-06-30","351.5","352.75","351","352.5","190"
"ZCn10","2010-06-30T11:45:00-05:00","2010-06-30","352.25","352.5","351","351.5","286"
"ZCn10","2010-06-30T12:00:00-05:00","2010-06-30","351.5","353","351.25","352.5","294"
"ZCn10","2010-06-30T12:15:00-05:00","2010-06-30","352.5","353","351.75","352","254"
"ZCn10","2010-06-30T12:30:00-05:00","2010-06-30","352","352","350","350","273"
"ZCn10","2010-06-30T12:45:00-05:00","2010-06-30","349.75","351.5","349.75","350.5","281"
"ZCn10","2010-06-30T13:00:00-05:00","2010-06-30","350","354.5","349.75","354.25","1226"
"ZCn10","2010-06-30T18:00:00-05:00","2010-07-01","354","354.75","354","354.5","113"
"ZCn10","2010-06-30T18:15:00-05:00","2010-07-01","354.25","354.5","353.75","354.5","12"
"ZCn10","2010-06-30T18:45:00-05:00","2010-07-01","354","354","354","354","1"
"ZCn10","2010-06-30T19:00:00-05:00","2010-07-01","354.75","354.75","354.75","354.75","1"
"ZCn10","2010-06-30T19:15:00-05:00","2010-07-01","354.75","354.75","354.75","354.75","1"
"ZCn10","2010-06-30T19:45:00-05:00","2010-07-01","355","355.5","355","355.5","22"
"ZCn10","2010-06-30T20:00:00-05:00","2010-07-01","355.25","355.25","355","355","3"
"ZCn10","2010-06-30T20:15:00-05:00","2010-07-01","355","355","355","355","1"
"ZCn10","2010-06-30T20:30:00-05:00","2010-07-01","355.5","355.5","355.5","355.5","1"
"ZCn10","2010-06-30T20:45:00-05:00","2010-07-01","355.5","355.5","355.5","355.5","1"
"ZCn10","2010-06-30T21:00:00-05:00","2010-07-01","355.25","355.25","353.5","353.5","74"
"ZCn10","2010-06-30T21:15:00-05:00","2010-07-01","353.5","353.5","353.5","353.5","24"
"ZCn10","2010-06-30T21:30:00-05:00","2010-07-01","353.5","353.5","353.5","353.5","30"
"ZCn10","2010-06-30T21:45:00-05:00","2010-07-01","353.5","354","353.5","354","133"
"ZCn10","2010-06-30T22:00:00-05:00","2010-07-01","354.5","354.5","354.5","354.5","3"
"ZCn10","2010-06-30T22:45:00-05:00","2010-07-01","353.5","353.5","353.5","353.5","60"
"ZCn10","2010-06-30T23:15:00-05:00","2010-07-01","353.5","353.5","353.5","353.5","3"
"ZCn10","2010-06-30T23:45:00-05:00","2010-07-01","353.5","353.5","353.5","353.5","6"
