"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"453",2011-03-03,533,536.75,532.5,NA,NA,536.75,2674,36158
"454",2011-03-02,520.5,520.5,520.5,NA,NA,520.5,1672,35965
"455",2011-03-01,515.25,515.25,515.25,NA,NA,515.25,872,35347
"456",2011-02-28,523.25,523.25,520.75,NA,NA,520.75,984,35054
"457",2011-02-25,523.25,523.25,519.75,NA,NA,519.75,1531,34783
"458",2011-02-24,505.5,511,503.25,NA,NA,505.5,1383,35020
"459",2011-02-23,505.5,514.25,503.25,NA,NA,514.25,2065,34704
"460",2011-02-22,507.5,507.5,506.5,NA,NA,507.5,2876,34555
"461",2011-02-18,536,543,535,NA,NA,536.5,450,33314
"462",2011-02-17,536,543.25,535,NA,NA,543.25,967,32993
"463",2011-02-16,521.5,526,520.75,NA,NA,526,967,32993
"464",2011-02-15,533.5,533.5,525,NA,NA,527.5,3042,32515
"465",2011-02-14,555,557,542.5,NA,NA,542.5,780,32076
"466",2011-02-11,555,557,552.5,NA,NA,553.25,1137,31944
"467",2011-02-10,548.75,556.5,544,NA,NA,556.5,1817,31641
"468",2011-02-09,552.5,552.5,549,NA,NA,552,2129,31643
"469",2011-02-08,543,550.5,543,NA,NA,550.5,418,31607
"470",2011-02-07,543.75,547,543.75,NA,NA,547,600,31563
"471",2011-02-04,548.5,548.5,548.5,NA,NA,548.5,874,31393
"472",2011-02-03,540,541,533.75,NA,NA,533.75,1422,31293
"473",2011-02-02,540,541.25,539.5,NA,NA,541.25,1626,30740
"474",2011-02-01,535.5,541,535.5,NA,NA,541,554,30133
"475",2011-01-31,535.5,536.25,535.5,NA,NA,536.25,959,30018
"476",2011-01-28,535,535,524.5,NA,NA,524.5,720,30467
"477",2011-01-27,536,536,532.75,NA,NA,532.75,568,30207
"478",2011-01-26,536,542.75,536,NA,NA,542.75,683,30161
"479",2011-01-25,531,531.5,531,NA,NA,531.5,1162,30200
"480",2011-01-24,537.25,537.25,537.25,NA,NA,537.25,563,29921
"481",2011-01-21,537.25,537.25,537.25,NA,NA,537.25,3118,29881
"482",2011-01-20,533.25,533.25,525.5,NA,NA,530.5,999,30330
"483",2011-01-19,533.25,533.25,523.75,NA,NA,523.75,1906,30373
"484",2011-01-18,528,531.5,528,NA,NA,531.5,1087,30353
"485",2011-01-14,528,530.75,528,NA,NA,530.75,2800,30082
"486",2011-01-13,518.5,525.5,517,NA,NA,525.5,1826,30121
"487",2011-01-12,521,521,516,NA,NA,516,1826,30121
"488",2011-01-11,518,518,514,NA,NA,515,1209,29864
"489",2011-01-10,517.25,517.25,515,NA,NA,515,1028,29712
"490",2011-01-07,514,514,512,NA,NA,512,1916,29607
"491",2011-01-06,516,516,516,NA,NA,516,1272,28655
"492",2011-01-05,510,527.25,510,NA,NA,527.25,1511,28693
"493",2011-01-04,510,510,508.5,NA,NA,508.5,1958,28558
"494",2011-01-03,519,519,513.5,NA,NA,513.5,1026,28266
"495",2010-12-31,519,523,519,NA,NA,523,510,28209
"496",2010-12-30,513.25,516.5,513,NA,NA,515.25,426,28196
"497",2010-12-29,519.5,520,519.5,NA,NA,520,676,28118
"498",2010-12-28,518.75,518.75,518.75,NA,NA,518.75,901,28005
"499",2010-12-27,512.5,512.5,512.5,NA,NA,512.5,660,27786
"500",2010-12-23,514.25,514.25,514.25,NA,NA,514.25,448,27653
"501",2010-12-22,510.25,513,510.25,NA,NA,513,934,27471
"502",2010-12-21,510.25,511.75,510.25,NA,NA,511.75,934,27471
"503",2010-12-20,509.5,509.5,508.75,NA,NA,508.75,1263,27407
"504",2010-12-17,509.5,509.5,508.5,NA,NA,508.5,1014,27206
"505",2010-12-16,496.5,500.5,496.5,NA,NA,500.5,663,27217
"506",2010-12-15,498.75,498.75,493.75,NA,NA,493.75,931,27296
"507",2010-12-14,498.5,498.5,497.25,NA,NA,497.25,1651,27328
"508",2010-12-13,501.5,501.5,501.5,NA,NA,501.5,864,27884
"509",2010-12-10,497.5,497.5,494.75,NA,NA,494.75,772,28020
"510",2010-12-09,497.5,497.5,496.75,NA,NA,496.75,589,28079
"511",2010-12-08,494.75,501.75,494.75,NA,NA,501.75,508,28088
"512",2010-12-07,504.75,504.75,494.25,NA,NA,494.25,883,28037
"513",2010-12-06,502.25,505.5,500,NA,NA,500,615,27952
"514",2010-12-03,502.25,505.5,502.25,NA,NA,504.75,938,27820
"515",2010-12-02,497,497,493,NA,NA,493,1848,27966
"516",2010-12-01,497,501.25,497,NA,NA,501.25,1496,27472
"517",2010-11-30,479.5,479.5,479.5,NA,NA,479.5,740,27381
"518",2010-11-29,486,486,486,NA,NA,486,716,27235
"519",2010-11-26,484.75,484.75,484.75,NA,NA,484.75,415,27230
"520",2010-11-24,485.25,485.25,485.25,NA,NA,485.25,2255,27210
"521",2010-11-23,471.75,471.75,471.75,NA,NA,471.75,861,26998
"522",2010-11-22,458.75,458.75,458.75,NA,NA,458.75,861,26998
"523",2010-11-19,466,466,466,NA,NA,466,5247,26783
"524",2010-11-18,481.5,481.5,481.5,NA,NA,481.5,4126,25264
"525",2010-11-17,466.25,466.25,466.25,NA,NA,466.25,2251,24862
"526",2010-11-16,452,452,452,NA,NA,452,4833,24742
"527",2010-11-15,492.25,492.25,464.75,NA,NA,477.75,2106,22801
"528",2010-11-12,476,476,464.75,NA,NA,464.75,3926,22972
"529",2010-11-11,511.25,511.25,494.75,NA,NA,494.75,2467,22664
"530",2010-11-10,511.25,511.25,509.25,NA,NA,509.25,2183,21942
"531",2010-11-09,516.25,517,514.25,NA,NA,514.25,1547,22266
"532",2010-11-08,523.5,525.5,518,NA,NA,518,1172,22260
"533",2010-11-05,521.75,525.75,521.75,NA,NA,525.75,1603,22758
"534",2010-11-04,525.5,526.25,525.5,NA,NA,526.25,1603,22758
"535",2010-11-03,520,523.5,520,NA,NA,523.5,2066,22766
"536",2010-11-02,519,520.75,515,NA,NA,520.75,1134,23227
"537",2010-11-01,519,519,513.75,NA,NA,513.75,1032,23226
"538",2010-10-29,519.25,519.25,517.75,NA,NA,517.75,854,23305
"539",2010-10-28,519.5,519.5,519.5,NA,NA,519.5,879,23371
"540",2010-10-27,511,518.25,511,NA,NA,518.25,814,23432
"541",2010-10-26,511,517,511,NA,NA,516.75,2921,23312
"542",2010-10-25,508,513.25,507.5,NA,NA,513.25,796,23348
"543",2010-10-22,507.5,507.5,499.5,NA,NA,499.5,1384,23231
"544",2010-10-21,497,510,497,NA,NA,505.25,2004,23182
"545",2010-10-20,497,511.25,497,NA,NA,511.25,1350,22807
"546",2010-10-19,496.5,496.5,491.25,NA,NA,491.25,1856,22585
"547",2010-10-18,493,496.75,493,NA,NA,496.75,1131,22584
"548",2010-10-15,494,501.5,493.25,NA,NA,493.25,689,22396
"549",2010-10-14,494,501.5,494,NA,NA,497,840,22303
"550",2010-10-13,498,498,494.25,NA,NA,494.25,1523,22163
"551",2010-10-12,493,497,493,NA,NA,497,2196,22076
"552",2010-10-11,509.25,509.25,490.5,NA,NA,490.5,5242,21924
"553",2010-10-08,505,505,498,NA,NA,502.5,11213,21453
"554",2010-10-07,475,475,475,NA,NA,475,1434,19665
"555",2010-10-06,467.75,470.25,467.75,NA,NA,470.25,803,19536
