"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"203",2015-02-26,409,415,408.25,414,4.5,413.75,26334,245945
"204",2015-02-25,410,411.75,405,409,0.5,409,41810,246200
"205",2015-02-24,410.75,418.5,409.5,409.5,0.5,409.75,31935,243154
"206",2015-02-23,416,417,409.5,410,5.5,410.5,29933,242179
"207",2015-02-20,419,419.5,414.5,416.5,3,416.25,18585,240577
"208",2015-02-19,414.5,421,413,419.5,5.5,419.75,27308,239828
"209",2015-02-18,420,421,414,414.5,6,414.5,12933,239405
"210",2015-02-17,417.5,421.25,415.5,420,3,420.5,21291,239288
"211",2015-02-13,413,418.75,412.25,417,4,417.5,24466,238208
"212",2015-02-12,415,417.5,411.5,413,2.5,413,24161,235285
"213",2015-02-11,418,419.25,414.5,415.5,3.5,415.25,21033,233620
"214",2015-02-10,420.5,421,414.25,418.5,2.5,418.5,25911,233024
"215",2015-02-09,415.75,421.75,414.5,421,4,421.25,30909,230416
"216",2015-02-06,415.75,419.5,410.75,416,0.5,416.75,26604,230054
"217",2015-02-05,413,417.25,412,414.5,1.5,416,20990,228792
"218",2015-02-04,415.25,418.25,410.25,413,2,414.25,27456,229153
"219",2015-02-03,401,418.25,401,415,15.5,416.25,49475,230002
"220",2015-02-02,400.25,409,398.5,401,0.5,401,26069,226727
"221",2015-01-30,403.5,404,396.75,401,2,400.75,40235,223170
"222",2015-01-29,404.25,404.75,399.5,404,1,402.75,44640,217663
"223",2015-01-28,410.75,411.75,404,405,7,404.25,29559,215613
"224",2015-01-27,413.75,415.75,410.5,NA,3,411.25,16471,215572
"225",2015-01-26,417,418.75,412.5,NA,3,414.25,19129,217710
"226",2015-01-23,413.25,418,412,417.5,4,417.25,28251,217749
"227",2015-01-22,415,418,411.5,412,2.5,413.25,21259,217150
"228",2015-01-21,416.5,418.75,413.75,415.5,1,415.5,14485,216710
"229",2015-01-20,413,417.5,409.75,411,2.5,417,29819,215889
"230",2015-01-16,408,415.25,407,414,7.5,414.75,22261,214307
