"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"66",2016-06-23,410,411,402.5,405.25,5.5,405.25,14036,97165
"67",2016-06-22,415.5,420.25,410,410.25,5,410.75,14347,96250
"68",2016-06-21,438.25,440.75,415,417,23.75,415.75,15476,95966
"69",2016-06-20,450,450.25,438.5,438.5,13,439.5,14124,95181
"70",2016-06-17,440,452.75,440,452.25,11.75,452.5,11384,88765
"71",2016-06-16,441.5,446,437,441,3.75,440.75,9523,87903
"72",2016-06-15,450,453.25,444,444,6.5,444.5,13310,88368
"73",2016-06-14,444.5,451.5,438,451.25,5.75,451,13448,87733
"74",2016-06-13,440,450.75,440,444.75,9.5,445.25,15756,85536
"75",2016-06-10,437.75,447,431.5,436.25,2.5,435.75,14385,84931
"76",2016-06-09,439.25,440.75,433.75,438.25,3,438.25,13058,84441
"77",2016-06-08,437.5,449,436.75,436,2.5,441.25,17625,81092
"78",2016-06-07,434,438.75,432.75,437.75,3,438.75,9434,79626
"79",2016-06-06,426,435.75,426,435,9.75,435.75,13402,77028
"80",2016-06-03,420.75,426,419.5,426,3.25,426,11491,76205
"81",2016-06-02,422.75,425.75,421,421,0.25,422.75,11544,75142
"82",2016-06-01,414.5,424,412,423.5,7.75,423,11284,72563
"83",2016-05-31,419,422,414.75,415,4.75,415.25,9281,71902
"84",2016-05-27,415.75,420.5,414.75,420.25,3.5,420,10774,70785
"85",2016-05-26,414,417.25,410.5,415.5,1.25,416.5,11824,69599
"86",2016-05-25,408.75,415.25,408.5,415.25,5.75,415.25,6679,68739
"87",2016-05-24,409.25,414,407.5,408.5,0.5,409.5,10096,67834
"88",2016-05-23,405.75,411.25,403,410,3.5,410,14839,69383
"89",2016-05-20,405,411,404,406.75,1.5,406.5,14446,68666
"90",2016-05-19,411,411.25,399.75,404,8.25,405,12299,68576
"91",2016-05-18,411,413.75,408.5,411.25,1.75,413.25,15030,66601
"92",2016-05-17,406.75,412.25,406.25,410,3.25,411.5,11960,65806
"93",2016-05-16,405,408.5,402,408,2.25,408.25,6582,64357
"94",2016-05-13,402.75,406.25,400.5,405.75,2,406,7500,62165
"95",2016-05-12,393.75,404.25,393.75,404,10.25,404,7570,60435
"96",2016-05-11,396,398.25,390.5,394.25,3,393.75,10001,58114
"97",2016-05-10,386.5,400.75,384.75,395.5,10.25,396.75,10934,57224
"98",2016-05-09,394,396.25,385.5,385.5,7.75,386.5,5444,57174
"99",2016-05-06,390,395,390,394,3.5,394.25,6302,57051
"100",2016-05-05,392.75,396,389.5,390.5,3,390.75,8204,56776
"101",2016-05-04,396,397.5,392.75,392.75,1.75,393.75,8519,56228
"102",2016-05-03,403.5,406,392.5,394.75,9,395.5,13207,55510
"103",2016-05-02,401,404.5,396.25,404,1.75,404.5,8407,54429
"104",2016-04-29,401.25,405,399.25,402.5,0.25,402.75,5859,54162
"105",2016-04-28,398.25,405.5,396.75,402.5,3.5,403,14368,54579
"106",2016-04-27,403,404,396.25,390,4.5,399.5,8242,55145
"107",2016-04-26,396,404,394.5,403.75,7.5,404,8700,54533
"108",2016-04-25,387.75,401,386,398,7.5,396.5,9542,54386
"109",2016-04-22,399.75,400.25,388.25,388.5,11.25,389,9606,54593
"110",2016-04-21,409,415.25,399.75,399.75,10,400.25,13344,52502
"111",2016-04-20,403.75,411.5,402.5,397,5.75,410.25,12358,49909
"112",2016-04-19,396.75,405,396.75,404,6,404.5,7821,47991
"113",2016-04-18,393,400.5,393,398.75,1.5,398.5,8161,45993
"114",2016-04-15,393.75,398.5,392.75,396.5,2.5,397,4101,45518
"115",2016-04-14,392.75,395.25,391.5,394.75,1.25,394.5,6004,44352
"116",2016-04-13,383.75,393.5,383,389.5,9.25,393.25,5181,43834
"117",2016-04-12,379,384.25,378.25,383.5,5.5,384,4590,43887
"118",2016-04-11,384.75,384.75,378,379,6,378.5,1653,43632
"119",2016-04-08,383.5,384.75,381.5,384.5,0.25,384.5,1550,43662
"120",2016-04-07,381,384.25,381,383.5,2.75,384.25,3175,42872
"121",2016-04-06,381,381.75,378.75,381.25,0.5,381.5,2425,42634
"122",2016-04-05,378.75,381,377.25,380.75,2,381,2918,42211
"123",2016-04-04,379.25,379.5,376.75,378.75,0.5,379,3410,42068
"124",2016-04-01,378.25,379.75,374,378.75,1.25,379.5,5213,41283
"125",2016-03-31,392,392.75,374.5,377.5,14.5,378.25,7783,40734
"126",2016-03-30,397.25,398.25,392,392.75,5.25,392.75,3713,39693
"127",2016-03-29,395.25,398,394.5,397.5,2.25,398,2862,38797
"128",2016-03-28,395,397.25,393.25,396,0.25,395.75,2031,38310
"129",2016-03-24,394,395.75,393,395.75,1,395.5,1971,37809
"130",2016-03-23,396,396.5,392,394.5,2.25,394.5,943,37729
"131",2016-03-22,395.5,398.25,395.5,395,0.5,396.75,1678,37358
"132",2016-03-21,393,396.5,393,396.75,2.25,396.25,1540,37160
"133",2016-03-18,395.5,396.5,393.25,393.5,2,394,754,37076
"134",2016-03-17,395,398.5,393.5,395,0.5,396,2534,36772
"135",2016-03-16,394.75,395.5,393.5,394.5,0.5,395.5,1104,36410
"136",2016-03-15,394.25,396.25,393,392,0.5,396,2642,35599
"137",2016-03-14,391.75,395.75,391.75,395.25,4.25,395.5,2192,34856
"138",2016-03-11,389.75,391.25,389,391.25,1.5,391.25,1671,34631
"139",2016-03-10,387.25,390,386,389.75,1.75,389.75,1833,34459
"140",2016-03-09,388,389.25,385.75,387.5,0.75,388,1410,34026
