"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"119",2015-03-26,409,411.75,404.5,406.25,3.5,406.75,26774,131701
"120",2015-03-25,408,410.5,407,409.75,1.5,410.25,34523,128992
"121",2015-03-24,404.25,409.25,403.5,408,3.25,408.75,22817,125944
"122",2015-03-23,399.75,406.25,399.75,405,5.25,405.5,20458,123935
"123",2015-03-20,389.5,402.25,388.5,399.5,10.75,400.25,33199,122331
"124",2015-03-19,392.25,395.75,386.5,388,1,389.5,15398,120405
"125",2015-03-18,387.25,390.75,382.75,NA,3.75,390.5,22406,121526
"126",2015-03-17,394.5,395.5,385.75,387,8,386.75,35059,116692
"127",2015-03-16,395.5,397,390.75,NA,0.75,394.75,21587,114905
"128",2015-03-13,402.75,404.25,395.5,396,7.5,395.5,21562,110633
"129",2015-03-12,405,406.25,401.25,NA,2.75,403,26980,107167
"130",2015-03-11,402.75,408.5,402.25,405,2,405.75,18583,103036
"131",2015-03-10,403,406,398.5,NA,0,403.25,19597,100390
"132",2015-03-09,401,406,401,NA,2,403.75,18633,95154
"133",2015-03-06,404.25,404.25,398.5,NA,4.5,401.25,19653,90711
"134",2015-03-05,404.25,407.5,403,406.5,0.5,405.5,11776,87591
"135",2015-03-04,406.5,407,401.25,402.5,2,404.75,12875,86095
"136",2015-03-03,404.25,407.25,400.25,NA,3.5,406.75,17171,84397
"137",2015-03-02,407.25,409.75,402.25,NA,4.5,403.5,11083,82367
"138",2015-02-27,403.5,410.75,401.25,NA,4,408.25,13868,81909
"139",2015-02-26,399.5,405.75,398.5,NA,4,403.75,8119,81312
"140",2015-02-25,400.75,402.5,395.25,399.5,1,399.25,13960,79451
"141",2015-02-24,402.25,409.75,400.25,407,1,400.75,15166,78573
"142",2015-02-23,407.75,408.25,400.5,NA,5.5,401.75,15319,77881
"143",2015-02-20,410.25,411.5,406,NA,4,407.5,15081,69601
"144",2015-02-19,406.5,413,404.75,NA,5,412,7852,67268
"145",2015-02-18,412,412.5,405.75,407,5.5,406.5,4990,65665
"146",2015-02-17,408.5,412.5,407.25,NA,3,412.25,8245,63213
"147",2015-02-13,404.25,410,404.25,410,4.5,409.25,5765,62403
"148",2015-02-12,407,408.75,403,NA,2.5,404.5,7867,62661
"149",2015-02-11,410,410.75,406,407.5,2.5,407.25,7570,62418
"150",2015-02-10,411.75,412.75,406.25,408,3,410,8491,61995
"151",2015-02-09,407.5,413.5,406,411,4.5,413,9347,62886
"152",2015-02-06,407.25,410.75,402.25,NA,0.5,408.25,7689,62735
"153",2015-02-05,404.25,409.25,404.25,406,1.5,407.5,4271,61908
"154",2015-02-04,406.5,409.5,402,NA,2,405.75,5941,61003
"155",2015-02-03,393,409.75,393,402,15.5,407.75,11341,60479
"156",2015-02-02,392.75,400.75,390.75,NA,0,392.5,7406,59717
"157",2015-01-30,394.5,394.75,388.5,NA,1,393,9461,59193
"158",2015-01-29,396,396,391,NA,1.5,394.5,9126,58677
"159",2015-01-28,402.5,403.5,395.5,NA,7.5,395.75,11395,58075
"160",2015-01-27,406,407.5,402,NA,3,403.5,4419,56986
"161",2015-01-26,408.75,410.5,404.5,406.5,2.5,406.5,4981,55797
"162",2015-01-23,405,409.75,404,NA,4,409.25,4998,54753
"163",2015-01-22,408,410.5,403.75,404.5,3,405.25,5587,54173
"164",2015-01-21,409,410.5,406.25,407.5,1,408.25,4571,53069
"165",2015-01-20,404.5,410,402,NA,3,409.75,3951,53238
"166",2015-01-16,399.5,407.25,399.25,NA,7.5,406.75,4714,53113
"167",2015-01-15,401.75,407.25,396.5,NA,1.5,399.5,6589,52411
"168",2015-01-14,405.75,405.75,396.25,NA,4.5,400.75,15797,51607
"169",2015-01-13,420.5,425,404,NA,15,405.5,14492,49458
"170",2015-01-12,416.25,424,406.75,NA,3,420.5,14980,48342
"171",2015-01-09,411.5,417.75,410.75,NA,4.5,417,9203,46071
"172",2015-01-08,414.5,416,410.75,NA,2.5,412.25,7658,44796
"173",2015-01-07,422,424.5,414,NA,8.5,414.5,3624,44433
"174",2015-01-06,423,426.5,420,NA,0.5,422.75,2983,43936
"175",2015-01-05,416.25,424,415.75,NA,10,423.5,4747,43600
"176",2015-01-02,415.25,416.25,409.5,NA,1.5,413.5,2282,42925
"177",2014-12-31,424.25,424.5,414.25,NA,9,415.25,1624,42667
