"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"140",2015-10-23,393,395,389.75,393,1.25,394.75,17270,107889
"141",2015-10-22,396,398.25,392.5,393,2.5,393.5,13169,107208
"142",2015-10-21,393.25,396.25,391,395.5,2.5,396,28939,110132
"143",2015-10-20,390,394.5,389.25,393.5,3,393.5,16361,110047
"144",2015-10-19,394.25,394.25,389.75,390.25,3.5,390.5,11772,108589
"145",2015-10-16,392.5,395,390,394.25,1.25,394,10086,107114
"146",2015-10-15,396,396.5,392.5,392.75,3.5,392.75,8224,105138
"147",2015-10-14,402,403.5,395.75,396.25,5.5,396.25,12279,104507
"148",2015-10-13,398.25,402,396.25,402,3.5,401.75,16471,101111
"149",2015-10-12,399.5,402.25,397.5,398,1.75,398.25,14889,100013
"150",2015-10-09,407.5,411,398.75,400,7.75,400,18815,97949
"151",2015-10-08,411.25,412.5,407.25,407.5,4.75,407.75,9849,97520
"152",2015-10-07,414,416.5,410.5,411.75,2.25,412.5,13004,97431
"153",2015-10-06,409,415.25,409,414.25,4.75,414.75,19609,97603
"154",2015-10-05,405.5,410.25,405.5,410.25,4,410,6922,96808
"155",2015-10-02,405.5,407.75,401.25,405.75,0.25,406,14525,96077
"156",2015-10-01,405.25,410.25,403,405.75,0.75,406.25,14008,94956
"157",2015-09-30,406.75,411.75,401.25,406.5,1.25,405.5,25518,93067
"158",2015-09-29,405.25,407.5,403.5,407,1.75,406.75,37538,94310
"159",2015-09-28,407,410.5,402,405,2.5,405,9167,92000
"160",2015-09-25,400,407.75,399.5,407.25,7.5,407.5,6174,90496
"161",2015-09-24,402,402.75,398.25,400.25,2,400,12193,88825
"162",2015-09-23,398.5,403.25,397.75,401.75,2.5,402,10165,87760
"163",2015-09-22,403.5,403.5,396.25,399.25,4,399.5,4579,86786
"164",2015-09-21,395,404,393.75,403,7.5,403.5,13395,84020
"165",2015-09-18,398.5,401,395.5,396.25,2.5,396,12271,83218
"166",2015-09-17,403.5,403.5,398,399.25,6,398.5,9794,82210
"167",2015-09-16,408.5,409.25,401.5,404,4.5,404.5,6676,81605
"168",2015-09-15,410.75,413,407,408.75,2.75,409,12234,79339
"169",2015-09-14,405,412,404.5,410.75,6.5,411.75,17657,74245
"170",2015-09-11,392.5,405.5,382.5,405,12.75,405.25,27094,68206
"171",2015-09-10,387,392.75,385.25,392,5,392.5,13561,62198
"172",2015-09-09,386.75,390.75,384.25,386.75,0.75,387.5,16352,59210
"173",2015-09-08,383.75,387,382.25,387,5.25,386.75,17140,55751
"174",2015-09-04,380,383,379,381.5,1.5,381.5,7273,53801
"175",2015-09-03,385.25,385.75,379.5,381,5.5,380,18519,50832
"176",2015-09-02,387,388.75,382,384.75,1.5,385.5,14160,49118
"177",2015-09-01,391,391.75,385.25,385.5,5.75,387,10473,46830
"178",2015-08-31,392.75,394.5,388.5,392.75,0.25,392.75,7180,46732
"179",2015-08-28,392.5,397.75,392,392.25,0.25,393,6230,46426
"180",2015-08-27,391,396.25,389,392.25,2,392.75,8372,45113
"181",2015-08-26,394,397.25,390,391,3.5,390.75,4255,44339
"182",2015-08-25,398,403.75,392.75,395,3.75,394.25,6749,42145
"183",2015-08-24,394.75,399.5,383.5,399,3.25,398,7834,40641
"184",2015-08-21,399.5,401,393.25,394.75,4.75,394.75,5967,40992
"185",2015-08-20,395.75,400.25,395.75,399.5,3.75,399.5,2707,40807
"186",2015-08-19,394.75,400.25,394.5,396.25,0.75,395.75,4158,39812
"187",2015-08-18,392.5,396.5,391,394.25,2.75,395,2407,39895
"188",2015-08-17,392.75,397.25,390.75,393,1.75,392.25,3326,39995
"189",2015-08-14,394,395.5,390,393.75,NA,394,4941,38565
"190",2015-08-13,387.5,394.5,384.75,393.75,7.75,394,5012,37530
"191",2015-08-12,404.75,410.75,375.75,387.75,18.5,386.25,16540,35986
"192",2015-08-11,417,417,404.25,405.75,13.25,404.75,3194,35468
"193",2015-08-10,404.5,418.75,403.75,418,16.75,418,11753,35522
"194",2015-08-07,398,402.75,394.75,401.5,3.25,401.25,4084,34686
"195",2015-08-06,400.75,402,397.5,397.75,3,398,4217,34361
"196",2015-08-05,396,401.25,395,400.5,5,401,4725,33934
"197",2015-08-04,395.5,399.75,394,395.75,2.5,396,2933,34025
"198",2015-08-03,397.5,397.5,392.25,395.5,4.75,393.5,4063,33186
"199",2015-07-31,402.25,404.75,396.5,399.25,2.75,398.25,4488,32668
"200",2015-07-30,396,402,393,402,5.5,401,6190,32120
"201",2015-07-29,405,405,394.75,396,7,395.5,4412,31625
