Thursday,Grain,Pounds,Destination,Field Office,FGIS Reg,MKT YR,Metric Ton,,Grain,(All),,,,,,,,,,,,,,Sum of Metric Ton,Column Labels,,,,,,,,
20150108,SOYBEANS,648000,INDONESIA,TOLEDO,INTERIOR,1415,294,,,,,NAMIBIA,,,,,,,,22729,22729,,,,,,,,,,,,
20150108,SOYBEANS,378000,INDONESIA,DIOO,INTERIOR,1415,171,,,,,NETHERLANDS,,,,,,,1945026,,1945026,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,NEW ZEALAND,,,54947,,,,,,54947,,,,,,,,,,,,
20150108,SOYBEANS,594000,CHINA T,DIOO,INTERIOR,1415,269,,,,,NICARAGUA,,,113023,,,,,69127,182150,,,,,,,,,,,,
20150108,SOYBEANS,486000,CHINA T,DIOO,INTERIOR,1415,220,,,,,NIGERIA,,,,,,,30733,1554543,1585276,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,OMAN,759,,32537,,,,,,33296,,,,,,,,,,,,
20150108,CORN,648000,CHINA T,DIOO,INTERIOR,1415,294,,,,,PAKISTAN,1467,,,,,,314360,,315827,,,,,,,,,,,,
20150108,CORN,486000,CHINA T,DIOO,INTERIOR,1415,220,,,,,PANAMA,,,320710,,,,24132,102045,446887,,,,,,,,,,,,
20150108,CORN,324000,CHINA T,DIOO,INTERIOR,1415,147,,,,,PERU,,,1176422,,,,79201,351357,1606980,,,,,,,,,,,,
20150108,SOYBEANS,486000,VIETNAM,DIOO,INTERIOR,1415,220,,,,,PHILIPPINES,269,,52505,,,,74234,1615206,1742214,,,,,,,,,,,,
20150108,SOYBEANS,810000,CHINA T,DIOO,INTERIOR,1415,367,,,,,POLAND,,,,336,,,,,336,,,,,,,,,,,,
20150108,SOYBEANS,54000,MEXICO,DIOO,INTERIOR,1415,24,,,,,PORTUGAL,,,151362,,,,130938,,282300,,,,,,,,,,,,
20150108,SOYBEANS,54000,MEXICO,DIOO,INTERIOR,1415,24,,,,,REP S AFRICA,,,,97,,11360,,22885,34342,,,,,,,,,,,,
20150108,SOYBEANS,54000,MEXICO,DIOO,INTERIOR,1415,24,,,,,RUSSIA,,,,,,,145694,,145694,,,,,,,,,,,,
20150108,CORN,810000,CHINA T,DIOO,INTERIOR,1415,367,,,,,SAUDI ARABIA,,,1103499,,,,67153,,1170652,,,,,,,,,,,,
20150108,SOYBEANS,108000,VIETNAM,DIOO,INTERIOR,1415,49,,,,,SENEGAL,,,,,,,,9825,9825,,,,,,,,,,,,
20150108,CORN,594000,CHINA T,DIOO,INTERIOR,1415,269,,,,,SINGAPORE,,,,,,,,32355,32355,,,,,,,,,,,,
20150108,CORN,116977400,JAPAN,OLYMPIA,WEST COAST,1415,53060,,,,,SOMALIA,,,5330,,,,,,5330,,,,,,,,,,,,
20150108,CORN,864000,CHINA T,DIOO,INTERIOR,1415,392,,,,,SPAIN,,,66002,,,,190088,14175,270265,,,,,,,,,,,,
20150108,SOYBEANS,864000,VIETNAM,DIOO,INTERIOR,1415,392,,,,,SRI LANKA,,,,,,,,130005,130005,,,,,,,,,,,,
20150108,SOYBEANS,432000,VIETNAM,DIOO,INTERIOR,1415,196,,,,,ST. VINCENT,,,12888,,,,,17844,30732,,,,,,,,,,,,
20150108,SOYBEANS,810000,INDONESIA,DIOO,INTERIOR,1415,367,,,,,SUDAN,,,,,,47500,,,47500,,,,,,,,,,,,
20150108,SOYBEANS,648000,VIETNAM,DIOO,INTERIOR,1415,294,,,,,SURINAME,,,,,,,,24,24,,,,,,,,,,,,
20150108,SOYBEANS,216000,THAILAND,DIOO,INTERIOR,1415,98,,,,,TANZANIA,,,,,,,,24000,24000,,,,,,,,,,,,
20150108,SOYBEANS,108000,CHINA T,DIOO,INTERIOR,1415,49,,,,,THAILAND,490,,,,,,247092,643175,890757,,,,,,,,,,,,
20150108,CORN,648000,CHINA MAIN,DIOO,INTERIOR,1415,294,,,,,TRINIDAD,,,49907,,,,,93129,143036,,,,,,,,,,,,
20150108,CORN,594000,CHINA MAIN,DIOO,INTERIOR,1415,269,,,,,TUNISIA,,,38193,,,,66000,25490,129683,,,,,,,,,,,,
20150108,CORN,756000,CHINA T,DIOO,INTERIOR,1415,343,,,,,TURKEY,,,,,,,264600,,264600,,,,,,,,,,,,
20150108,CORN,127181830,JAPAN,OLYMPIA,WEST COAST,1415,57689,,,,,UN ARAB EM,73,,,,,,,30790,30863,,,,,,,,,,,,
20150108,SORGHUM,55769766,CHINA MAIN,LEAGUE CITY,WEST GULF,1415,25297,,,,,UN KINGDOM,,,,,,,66863,39451,106314,,,,,,,,,,,,
20150108,SORGHUM,26653614,KENYA,LEAGUE CITY,WEST GULF,1415,12090,,,,,VENEZUELA,,,481762,,,,17999,214038,713799,,,,,,,,,,,,
20150108,WHEAT,20723240,KENYA,LEAGUE CITY,WEST GULF,1415,9400,,,,,VIETNAM,,,,,,,380996,287213,668209,,,,,,,,,,,,
20150108,SOYBEANS,108000,INDONESIA,DIOO,INTERIOR,1415,49,,,,,YEMEN,,,,,,,,274950,274950,,,,,,,,,,,,
20150108,SOYBEANS,216000,JAPAN,DIOO,INTERIOR,1415,98,,,,,Grand Total,98308,20636,36217213,4176,600,7001127,21674712,16952370,81969142,,,,,,,,,,,,
20150108,SOYBEANS,324000,JAPAN,DIOO,INTERIOR,1415,147,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,702000,CHINA T,DIOO,INTERIOR,1415,318,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,648000,CHINA T,DIOO,INTERIOR,1415,294,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,486000,INDONESIA,DIOO,INTERIOR,1415,220,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,162000,INDONESIA,DIOO,INTERIOR,1415,73,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,972000,INDONESIA,DIOO,INTERIOR,1415,441,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,702000,INDONESIA,DIOO,INTERIOR,1415,318,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1026000,THAILAND,DIOO,INTERIOR,1415,465,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,486000,CHINA T,DIOO,INTERIOR,1415,220,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,918000,CHINA T,DIOO,INTERIOR,1415,416,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,378000,INDONESIA,DIOO,INTERIOR,1415,171,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,972000,CHINA T,DIOO,INTERIOR,1415,441,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,540000,CHINA T,DIOO,INTERIOR,1415,245,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,270000,MALAYSIA,DIOO,INTERIOR,1415,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,270000,JAPAN,DIOO,INTERIOR,1415,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1026000,CHINA T,DIOO,INTERIOR,1415,465,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,270000,JAPAN,DIOO,INTERIOR,1415,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,486000,INDONESIA,DIOO,INTERIOR,1415,220,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,324000,INDONESIA,DIOO,INTERIOR,1415,147,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,270000,INDONESIA,DIOO,INTERIOR,1415,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,864000,INDONESIA,DIOO,INTERIOR,1415,392,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,162000,VIETNAM,DIOO,INTERIOR,1415,73,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,756000,INDONESIA,DIOO,INTERIOR,1415,343,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,WHEAT,880000,MEXICO,DIOO,INTERIOR,1415,399,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,540000,INDONESIA,TOLEDO,EAST COAST,1415,245,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,648000,INDONESIA,TOLEDO,EAST COAST,1415,294,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,648000,INDONESIA,TOLEDO,EAST COAST,1415,294,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,648000,INDONESIA,TOLEDO,EAST COAST,1415,294,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,VIETNAM,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
